时间,标题,网址,评论数
今天07:31,外媒:美官员透露国防部拒绝向台派陆战队驻守AITT,http://news.sina.com.cn/c/gat/2018-09-14/doc-ihiixzkm8593677.shtml,0
今天07:10,美国“亲台”这碗饭 台湾还能吃多久？,http://news.sina.com.cn/c/gat/2018-09-14/doc-ihkahyhw8141459.shtml,0
9月12日 21:39,台湾网友为这事都在说：感谢祖国给了台湾尊严,http://news.sina.com.cn/o/2018-09-12/doc-ihiycyfx9732896.shtml,"7,318"
9月12日 21:09,谢长廷回应辱慰安妇像：台湾也有人对日本人暴力,http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiycyfx9677785.shtml,73
9月12日 18:52,民进党眼中钉？花莲县长被判入狱8月遭台当局解职,http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiixzkm7877325.shtml,7
9月12日 17:35,辱慰安妇像日本人辞职 所属团体道歉但仍否认历史,http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiycyfx9110741.shtml,171
9月12日 17:29,柯文哲抢“军公教”选票？释5万职缺让退休者兼职,http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiycyfx8893766.shtml,4
9月12日 17:27,台“党产会”将冻结“中影”资产:国民党附随组织,http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiixyeu6633529.shtml,4
9月12日 17:24,台“促转会”沦为民进党选举打手 官员以东厂自居,http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiixzkm7848157.shtml,116
9月12日 16:37,登革热疫情在台延烧 今年已有107例本土病例,http://news.sina.com.cn/c/2018-09-12/doc-ihiycyfx8772948.shtml,0
9月12日 16:08,这次 把“台湾国护照”带到日本也没用了(图),http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiycyfx8935122.shtml,"1,952"
9月12日 15:59,台派17人赴帕劳推销水果仅干1天正事 被批假考察,http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiycyfx8847329.shtml,18
9月12日 15:22,吴敦义:国民党年底至少能赢10县市 不理想就下台,http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiixyeu6590721.shtml,11
9月12日 15:16,国台办:民进党搞什么花样都阻挡不了祖国统一进程,http://news.sina.com.cn/o/2018-09-12/doc-ihiycyfx8182173.shtml,2
9月12日 15:14,台记者问台湾人海外向大陆求助有无条件?答案在这,http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiycyfx8153359.shtml,84
9月12日 15:05,民进党支持率骤降党内内讧 前“绿委”猛批蔡英文,http://news.sina.com.cn/c/gat/2018-09-12/doc-ihiycyfx8205421.shtml,22
9月12日 14:53,国台办：逾2.2万名台胞已申领台湾居民居住证,http://news.sina.com.cn/c/2018-09-12/doc-ihiycyfx8024784.shtml,4
9月12日 14:19,中国4艘海警船进入钓鱼岛领海巡航 遭到日方监视,http://news.sina.com.cn/c/nd/2018-09-12/doc-ihiycyfx7821477.shtml,955
9月12日 14:09,央视台长吐槽俄酒店肥皂：太粗糙 可从中国进口,http://news.sina.com.cn/c/nd/2018-09-12/doc-ihiycyfx7764973.shtml,594
9月12日 13:08,网秦创始人与董事长隔空互怼 绑架到底有没有？,http://news.sina.com.cn/c/nd/2018-09-12/doc-ihiycyfx7523154.shtml,2
